epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.54537,1.63262,2.82396,0.37439,3.14915,1.63691,0.01083,0.92857,0.1516,0.09139,0.00833,0.71429,0.11797,0.06758,0.74638,4.21672,0.40563,2.69108,1.00292,0,0,0
2,6.78783,1.50201,3.6013,0.42595,3.40143,1.45699,0.01,0.85714,0.15443,0.10266,0.00833,0.71429,0.12884,0.0618,0.74776,4.21509,0.40428,2.69377,1.00758,1.9802e-05,1.9802e-05,1.9802e-05
3,10.1184,1.10265,4.56711,0.41226,2.79312,1.27977,0.01,0.85714,0.16585,0.10693,0.00833,0.71429,0.12861,0.06366,0.76549,4.26322,0.40147,2.69696,1.02204,3.9208e-05,3.9208e-05,3.9208e-05
4,13.3256,1.50183,4.19602,0.47083,3.25025,1.49901,0.01,0.85714,0.17816,0.11271,0.00833,0.71429,0.13577,0.06612,0.79941,4.29454,0.39847,2.70158,1.03342,5.8218e-05,5.8218e-05,5.8218e-05
5,16.6173,1.05109,2.3157,0.36168,2.97791,1.2388,0.01,0.85714,0.195,0.13194,0.00833,0.71429,0.13288,0.0694,0.79382,4.32807,0.39141,2.71369,1.03819,7.6832e-05,7.6832e-05,7.6832e-05
6,19.6692,0.91141,3.63891,0.341,2.72841,1.18048,0.01,0.85714,0.23709,0.15202,0.0075,0.64286,0.13982,0.05813,0.81404,4.47376,0.39058,2.71679,1.0488,9.505e-05,9.505e-05,9.505e-05
7,22.8323,1.01355,2.77525,0.37966,2.66703,1.08514,0.01,0.85714,0.25125,0.16791,0.0075,0.64286,0.14746,0.06041,0.84421,4.50658,0.38661,2.71796,1.06526,0.000112872,0.000112872,0.000112872
8,25.9718,1.27153,4.29822,0.5213,2.85742,1.25564,0.01,0.85714,0.29376,0.18916,0.0075,0.64286,0.16296,0.05687,0.90634,4.71356,0.39483,2.72296,1.0946,0.000130298,0.000130298,0.000130298
9,29.226,1.04486,2.48589,0.32871,2.78426,1.1991,0.01,0.85714,0.35545,0.21208,0.0075,0.64286,0.17484,0.06023,0.94291,4.74627,0.39602,2.7372,1.11702,0.000147328,0.000147328,0.000147328
10,32.2734,0.96022,1.95903,0.33908,2.64488,1.14524,0.01083,0.92857,0.43296,0.24722,0.0075,0.64286,0.20389,0.07335,0.9416,4.74228,0.39833,2.73839,1.11408,0.000163962,0.000163962,0.000163962
11,35.533,1.15469,3.39364,0.35213,2.70617,1.2155,0.01083,0.92857,0.43666,0.26266,0.0075,0.64286,0.21473,0.07953,0.95825,4.60554,0.39833,2.72944,1.12322,0.0001802,0.0001802,0.0001802
